Datetime,Close
01-03-2021 12:05,11
01-03-2021 12:05,415
01-03-2021 12:05,902
01-03-2021 12:05,9
01-03-2021 12:05,53
01-03-2021 12:05,381
01-03-2021 12:05,970
01-03-2021 12:05,211
01-03-2021 12:05,725
01-03-2021 12:05,750
01-03-2021 12:05,291
01-03-2021 12:05,227
01-03-2021 12:05,991
01-03-2021 12:05,403
01-03-2021 12:05,459
01-03-2021 12:05,2637
01-03-2021 12:05,339
01-03-2021 12:05,215
01-03-2021 12:05,8
01-03-2021 12:05,35313
01-03-2021 12:05,622
01-03-2021 12:05,261
01-03-2021 12:05,1525
01-03-2021 12:05,19
01-03-2021 12:05,2186
01-03-2021 12:05,525
01-03-2021 12:05,12
01-03-2021 12:05,678
01-03-2021 12:05,385
01-03-2021 12:05,79
01-03-2021 12:05,509
01-03-2021 12:05,35146
01-03-2021 12:05,167
01-03-2021 12:05,660
01-03-2021 12:05,404
01-03-2021 12:05,2086
01-03-2021 12:05,204
01-03-2021 12:05,94
01-03-2021 12:05,110
01-03-2021 12:05,200
01-03-2021 12:05,256
01-03-2021 12:05,18
01-03-2021 12:05,10
01-03-2021 12:05,478
01-03-2021 12:05,12
01-03-2021 12:05,60
01-03-2021 12:05,946
01-03-2021 12:05,277
01-03-2021 12:05,113
01-03-2021 12:05,47
01-03-2021 12:05,141
01-03-2021 12:05,21
01-03-2021 12:05,1264
01-03-2021 12:05,141
01-03-2021 12:05,105
01-03-2021 12:05,42
01-03-2021 12:05,320
01-03-2021 12:05,256
01-03-2021 12:05,1168
01-03-2021 12:05,5225
01-03-2021 12:05,1705
01-03-2021 12:05,527
01-03-2021 12:05,1205
01-03-2021 12:05,1970
01-03-2021 12:05,1011
01-03-2021 12:05,5
01-03-2021 12:05,149
01-03-2021 12:05,151
01-03-2021 12:05,665
01-03-2021 12:05,725
01-03-2021 12:05,21
01-03-2021 12:05,109
01-03-2021 12:05,672
01-03-2021 12:05,150
01-03-2021 12:05,65
01-03-2021 12:05,483
01-03-2021 12:05,51
01-03-2021 12:05,28
01-03-2021 12:05,910
01-03-2021 12:05,251
